,0
1274,5.1
1275,11.6
1276,14.7
1277,20.4
1278,24.7
1279,24.9
1280,22.8
1281,16.7
1282,11.1
1283,3.5
1284,47.0
1285,98.3
1286,84.6
1287,33.5
1288,52.8
1289,11.5
1290,120.7
1291,217.6
1292,9.0
1293,26.1
1294,92.5
1295,78.9
1296,9.7
1297,9.2
1298,13.3
1299,17.7
1300,21.1
1301,24.3
1302,28.8
1303,30.9
1304,24.2
1305,23.5
1306,17.8
1307,11.7
1308,5.1
1309,3.5
1310,6.3
1311,10.3
1312,14.5
1313,18.4
1314,23.1
1315,25.1
1316,19.7
1317,16.6
1318,12.2
1319,6.6
1320,57.0
1321,73.5
1322,43.8
1323,88.4
1324,163.7
1325,271.6
1326,338.7
1327,64.8
1328,261.0
1329,19.3
1330,83.6
1331,62.0
1332,9.3
1333,12.7
1334,14.5
1335,17.6
1336,22.9
1337,24.4
1338,27.4
1339,31.2
1340,25.7
1341,21.2
1342,15.1
1343,11.8
1344,5.0
1345,5.9
1346,7.5
1347,10.4
1348,15.4
1349,18.9
1350,22.6
1351,25.6
1352,21.3
1353,15.8
1354,9.2
1355,7.5
1356,124.5
1357,61.0
1358,86.2
1359,38.1
1360,50.8
1361,101.9
1362,302.8
1363,231.7
1364,880.0
1365,167.5
1366,2.6
1367,92.7
1368,8.5
1369,7.8
1370,13.4
1371,17.5
1372,21.0
1373,23.6
1374,30.2
1375,29.7
1376,26.5
1377,22.4
1378,15.4
1379,11.7
1380,4.5
1381,2.6
1382,7.0
1383,11.1
1384,13.7
1385,18.4
1386,24.6
1387,24.4
1388,21.8
1389,16.5
1390,10.3
1391,5.3
1392,156.8
1393,31.0
1394,77.5
1395,85.7
1396,135.0
1397,260.5
1398,61.5
1399,243.7
1400,126.3
1401,29.3
1402,73.3
1403,28.2
1404,7.9
1405,11.6
1406,13.4
1407,17.3
1408,22.7
1409,26.1
1410,28.8
1411,28.2
1412,25.4
1413,22.4
1414,15.2
1415,9.8
1416,3.0
1417,5.7
1418,6.3
1419,10.1
1420,14.9
1421,19.6
1422,23.2
1423,23.4
1424,20.7
1425,15.9
1426,10.0
1427,4.8
1428,61.7
1429,113.7
1430,50.9
1431,94.4
1432,52.2
1433,155.8
1434,201.1
1435,240.5
1436,113.3
1437,77.4
1438,115.3
1439,28.5
1440,8.3
1441,10.5
1442,13.0
1443,15.2
1444,21.2
1445,24.1
1446,28.9
1447,32.1
1448,27.2
1449,20.3
1450,15.2
1451,10.3
1452,2.5
1453,4.4
1454,5.9
1455,8.6
1456,14.1
1457,18.8
1458,23.5
1459,26.4
1460,21.6
1461,15.0
1462,8.1
1463,4.0
1464,34.6
1465,81.7
1466,161.3
1467,210.5
1468,33.6
1469,188.0
1470,263.9
1471,227.6
1472,179.1
1473,120.3
1474,1.8
1475,82.5
1476,4.1
1477,10.1
1478,10.7
1479,17.0
1480,21.6
1481,24.5
1482,30.7
1483,28.7
1484,26.1
1485,20.8
1486,18.4
1487,9.2
1488,0.7
1489,4.2
1490,5.1
1491,9.3
1492,15.1
1493,19.4
1494,24.5
1495,24.1
1496,20.7
1497,15.0
1498,13.4
1499,5.0
1500,15.6
1501,35.1
1502,32.4
1503,51.3
1504,66.1
1505,398.6
1506,68.3
1507,423.1
1508,47.8
1509,49.1
1510,231.3
1511,59.9
1512,7.4
1513,7.4
1514,12.1
1515,18.6
1516,22.6
1517,24.7
1518,29.4
1519,30.4
1520,24.7
1521,21.8
1522,14.7
1523,9.2
1524,3.3
1525,2.3
1526,6.1
1527,10.5
1528,15.8
1529,20.3
1530,24.2
1531,25.9
1532,19.7
1533,15.4
1534,9.5
1535,4.1
1536,32.9
1537,109.1
1538,171.9
1539,165.0
1540,99.0
1541,104.8
1542,207.3
1543,601.9
1544,499.1
1545,35.7
1546,90.6
1547,131.0
1548,8.2
1549,9.3
1550,15.2
1551,17.7
1552,22.4
1553,24.6
1554,32.1
1555,32.4
1556,26.8
1557,21.9
1558,15.8
1559,10.6
1560,3.0
1561,3.2
1562,5.9
1563,9.6
1564,15.2
1565,19.7
1566,25.7
1567,26.3
1568,21.4
1569,16.7
1570,9.9
1571,5.6
1572,20.5
1573,60.5
1574,55.2
1575,94.5
1576,59.7
1577,160.5
1578,14.7
1579,74.2
1580,82.1
1581,113.5
1582,82.1
1583,41.8
1584,10.0
1585,10.0
1586,13.9
1587,17.8
1588,22.8
1589,24.4
1590,27.8
1591,27.4
1592,26.2
1593,22.1
1594,16.5
1595,9.7
1596,3.5
1597,5.1
1598,7.5
1599,11.9
1600,15.7
1601,19.7
1602,22.9
1603,23.5
1604,21.1
1605,16.3
1606,11.5
1607,4.6
1608,50.2
1609,137.5
1610,88.4
1611,52.3
1612,86.7
1613,65.4
1614,288.7
1615,460.3
1616,93.5
1617,92.9
1618,100.3
1619,47.2
1620,10.2
1621,10.1
1622,13.6
1623,19.2
1624,22.7
1625,25.3
1626,28.8
1627,29.3
1628,25.9
1629,22.6
1630,17.8
1631,12.4
1632,4.9
1633,4.7
1634,7.3
1635,12.0
1636,15.9
1637,19.5
1638,23.2
1639,24.1
1640,20.7
1641,16.3
1642,12.6
1643,7.7
1644,82.4
1645,35.5
1646,80.7
1647,147.9
1648,150.0
1649,186.4
1650,329.7
1651,248.6
1652,172.9
1653,31.0
1654,173.2
1655,90.0
1656,8.3
1657,10.6
1658,14.3
1659,19.6
1660,22.9
1661,25.5
1662,30.7
1663,31.4
1664,26.3
1665,22.9
1666,16.9
1667,12.7
1668,4.1
1669,4.5
1670,7.6
1671,12.6
1672,15.7
1673,19.8
1674,25.0
1675,26.1
1676,21.9
1677,18.1
1678,11.0
1679,6.6
1680,125.8
1681,40.0
1682,96.9
1683,121.4
1684,113.0
1685,162.7
1686,98.6
1687,75.6
1688,172.3
1689,282.4
1690,71.3
1691,56.6
1692,9.2
1693,10.3
1694,13.0
1695,19.5
1696,23.6
1697,25.3
1698,32.7
1699,32.0
1700,27.2
1701,21.8
1702,16.0
1703,9.8
1704,4.2
1705,3.3
1706,6.9
1707,12.4
1708,16.1
1709,19.5
1710,26.5
1711,26.1
1712,21.6
1713,16.9
1714,9.5
1715,4.6
1716,50.7
1717,39.1
1718,48.2
1719,51.4
1720,38.5
1721,60.7
1722,35.2
1723,159.5
1724,83.4
1725,162.0
1726,19.2
1727,25.4
1728,7.3
